Time,Strain,Mean,SD
0,ST14207,0.109,0.124132993
5,ST14207,0.995,0.23626045
24,ST14207,5.681333333,0.136771098
29,ST14207,5.895,0.01
46,ST14207,6.426,0.060324125
53,ST14207,6.325,0.045508241
72,ST14207,7.072333333,0.175078078
0,ST14186,1.166,0.09578622
5,ST14186,3.340666667,0.194870042
24,ST14186,8.293,0.128046866
29,ST14186,9.710333333,0.076428616
46,ST14186,20.41033333,0.295772435
53,ST14186,18.775,0.258513056
72,ST14186,20.99233333,0.400941808
0,ST14204,0.455,0.117987287
5,ST14204,2.430333333,0.112358059
24,ST14204,7.715333333,0.036253735
29,ST14204,7.794666667,0.029938827
46,ST14204,8.491333333,0.023437861
53,ST14204,7.952333333,0.074272023
72,ST14204,8.886666667,0.020428738
0,ST14210,0.721333333,0.077680972
5,ST14210,2.483333333,0.083284652
24,ST14210,6.674,0.116051713
29,ST14210,6.957,0.056026779
46,ST14210,11.254,0.391199438
53,ST14210,12.13133333,0.285710226
72,ST14210,18.672,0.211780547
0,ST14205,0.160666667,0.063263997
5,ST14205,2.49,0.078083289
24,ST14205,8.271333333,0.049003401
29,ST14205,9.825333333,0.148018017
46,ST14205,20.07633333,0.074036027
53,ST14205,18.43133333,0.263780843
72,ST14205,20.759,0.389928199
0,ST14201,0.472666667,0.240491857
5,ST14201,2.208,0.057506521
24,ST14201,6.878666667,0.084907793
29,ST14201,7.085,0.211440299
46,ST14201,11.03233333,0.25461016
53,ST14201,12.00933333,0.418437968
72,ST14201,18.484,0.230527656
0,ST14195,0.208,0.058642988
5,ST14195,1.585,0.046032597
24,ST14195,6.750666667,0.091182966
29,ST14195,7.303,0.105531986
46,ST14195,17.64466667,0.30134587
53,ST14195,16.94666667,0.162583312
72,ST14195,21.48633333,0.304523124
0,ST14206,0.550333333,0.105396078
5,ST14206,1.908333333,0.151242631
24,ST14206,6.938666667,0.174826581
29,ST14206,7.759333333,0.068850079
46,ST14206,18.30333333,0.215374867
53,ST14206,16.892,0.077349855
72,ST14206,18.968,0.338527695
0,ST14211,0.773333333,0.283373134
5,ST14211,2.647333333,0.304355603
24,ST14211,6.983,0.051739733
29,ST14211,7.463333333,0.122639037
46,ST14211,9.686,0.045574115
53,ST14211,16.937,0.243080234
72,ST14211,19.36533333,0.577533837
0,ST14212,1.067,0.110040901
5,ST14212,2.588666667,0.082682122
24,ST14212,6.475,0.094429868
29,ST14212,7.228666667,0.183712638
46,ST14212,10.734,0.564782259
53,ST14212,18.05466667,0.73962513
72,ST14212,19.20966667,1.494644551
0,ST10284,0.418,0.215097652
5,ST10284,1.933,0.109995454
24,ST10284,6.636,0.045299007
29,ST10284,7.721,0.237312031
46,ST10284,17.90633333,0.468502223
53,ST10284,18.26633333,0.154506742
72,ST10284,20.423,0.128689549
