Time,Strain,Mean,SD
5,ST14207,31.95597076,3.406768943
24,ST14207,267.0249366,14.11379089
29,ST14207,268.6608792,6.113428012
46,ST14207,283.4368992,13.0297302
53,ST14207,272.9324259,34.17164477
72,ST14207,266.9760481,14.51784536
5,ST14186,51.02871144,1.767017373
24,ST14186,331.8154129,54.52229955
29,ST14186,422.0268458,8.486668559
46,ST14186,519.1085808,44.21319236
53,ST14186,486.6677376,20.90735379
72,ST14186,494.0283846,4.702820829
5,ST14204,4.87754596,0.04162535
24,ST14204,27.33271828,1.130435884
29,ST14204,27.75994592,1.911377087
46,ST14204,27.20830784,0.362146109
53,ST14204,23.77698764,0.717982039
72,ST14204,25.71976064,0.493863062
5,ST14210,37.3103626,3.401281672
24,ST14210,329.1553644,17.22351474
29,ST14210,337.8119231,3.605900473
46,ST14210,445.1332575,1.352697573
53,ST14210,382.4293012,11.67422207
72,ST14210,462.9469354,6.382816105
5,ST14205,52.01414428,2.026113015
24,ST14205,348.7673386,5.802908082
29,ST14205,416.302871,15.09239343
46,ST14205,537.4421556,9.432610128
53,ST14205,464.6047683,9.779842522
72,ST14205,497.4027898,3.65794681
5,ST14201,49.76198696,6.513177991
24,ST14201,345.733694,14.2179267
29,ST14201,324.554732,37.81115541
46,ST14201,440.6132548,5.060920231
53,ST14201,391.0982645,8.090140637
72,ST14201,468.5815243,3.228822313
5,ST14195,43.93695152,2.478089081
24,ST14195,370.7361792,18.75356529
29,ST14195,367.6894004,18.44958496
46,ST14195,471.9657802,14.69517043
53,ST14195,401.2003192,4.30871006
72,ST14195,504.056012,11.21990402
5,ST14206,44.12849252,2.270942089
24,ST14206,370.1469626,27.38682716
29,ST14206,395.2800606,33.94770933
46,ST14206,528.4444715,23.50734961
53,ST14206,445.5385948,7.469649953
72,ST14206,514.4459256,3.59446306
5,ST14211,32.79656212,1.482077215
24,ST14211,309.03079,12.25257071
29,ST14211,305.0471021,8.007014978
46,ST14211,359.1448476,9.890195066
53,ST14211,453.4125716,13.97301214
72,ST14211,496.8307207,23.27925593
5,ST14212,31.57033488,2.892173988
24,ST14212,317.7913281,9.544947734
29,ST14212,316.5111046,5.804200138
46,ST14212,382.564292,8.738014648
53,ST14212,442.1306243,21.1296757
72,ST14212,471.7552675,19.14373548
5,ST10284,33.98265696,2.043757839
24,ST10284,307.8034683,3.47087571
29,ST10284,343.8106224,18.15048545
46,ST10284,381.2114653,11.41771048
53,ST10284,352.7119887,1.951687633
72,ST10284,389.3419247,4.388233626
