,reaction,EC,met,KM_min,KM_max,ratio,KM_model_max,KM_model_min,label
0,ALCD2x,1.1.1.1,acald,0.22,2.83,12.863636363636363,0.00034639381702340094,4.897046922775607e-07,ALCD2x_acald
1,ALCD2x,1.1.1.1,etoh,5.7,53.0,9.298245614035087,0.00017591164988236212,1.80941580091582e-06,ALCD2x_etoh
2,ALCD2x,1.1.1.1,nad,0.059000000000000004,2.29,38.813559322033896,712.8571399739125,1.1600228364336782,ALCD2x_nad
3,ALCD2x,1.1.1.1,nadh,0.122,0.122,1.0,0.6925852690640865,6.115165268292024e-05,ALCD2x_nadh
4,ALCD2irm,1.1.1.1,acald,0.22,2.83,12.863636363636363,0.00023426080694566637,4.052706423799452e-06,ALCD2irm_acald
5,ALCD2irm,1.1.1.1,etoh,5.7,53.0,9.298245614035087,6.765406715646564e-05,7.165204845809155e-07,ALCD2irm_etoh
6,ALCD2irm,1.1.1.1,nad,0.059000000000000004,2.29,38.813559322033896,548.3976169159756,2.6360466333410653,ALCD2irm_nad
7,ALCD2irm,1.1.1.1,nadh,0.122,0.122,1.0,6.743742297068883,0.18669743059510252,ALCD2irm_nadh
10,ALCD26xi,1.1.1.1,nad,0.059000000000000004,2.29,38.813559322033896,323.6697952358089,0.6563058155548488,ALCD26xi_nad
11,ALCD26xi,1.1.1.1,nadh,0.122,0.122,1.0,1.461478154466963,0.0038925156456368574,ALCD26xi_nadh
14,ALCD26xim,1.1.1.1,nad,0.059000000000000004,2.29,38.813559322033896,216.71679756595023,3.0018068822377257,ALCD26xim_nad
15,ALCD26xim,1.1.1.1,nadh,0.122,0.122,1.0,5.721176410418901,0.015023115110637713,ALCD26xim_nadh
16,ALCD2ir,1.1.1.1,acald,0.22,2.83,12.863636363636363,1.1748827390207737e-05,4.1424482007045874e-07,ALCD2ir_acald
17,ALCD2ir,1.1.1.1,etoh,5.7,53.0,9.298245614035087,0.00043035239356587835,6.380173859482743e-07,ALCD2ir_etoh
18,ALCD2ir,1.1.1.1,nad,0.059000000000000004,2.29,38.813559322033896,490.257378300554,0.2183099258468682,ALCD2ir_nad
19,ALCD2ir,1.1.1.1,nadh,0.122,0.122,1.0,0.48715501028146285,0.0008273158899664549,ALCD2ir_nadh
20,LALDO3,1.1.1.283,mthgxl,5.88,5.88,1.0,6.676897961730012,0.058490493020645115,LALDO3_mthgxl
21,LALDO3,1.1.1.283,nadph,0.0002,0.0002,1.0,1.370163049618033,0.06535655134379786,LALDO3_nadph
23,MDHm,1.1.1.37,nad,0.11,0.3,2.727272727272727,611.257774259853,14.097046871846796,MDHm_nad
24,MDHm,1.1.1.37,nadh,0.0136,0.03,2.2058823529411766,20.91957006244458,0.14012418789836487,MDHm_nadh
25,MDHm,1.1.1.37,oaa,0.0094,0.081,8.617021276595745,0.0004365231022147803,8.948158862325325e-07,MDHm_oaa
27,MDH,1.1.1.37,nad,0.11,0.3,2.727272727272727,268.8216080830124,0.20221728699409505,MDH_nad
28,MDH,1.1.1.37,nadh,0.0136,0.03,2.2058823529411766,0.15394012501416315,0.0007992177661586259,MDH_nadh
29,MDH,1.1.1.37,oaa,0.0094,0.081,8.617021276595745,0.013472954269842697,1.980461863405686e-05,MDH_oaa
31,ME1m,1.1.1.38,nad,0.5,0.5,1.0,105.16535631051117,0.8600413838620867,ME1m_nad
34,ICDHxm,1.1.1.41,icit,0.09,1.6,17.77777777777778,4.1005027842399127e-05,3.9079163117120257e-07,ICDHxm_icit
35,ICDHyr,1.1.1.42,akg,0.2,1.92,9.6,6.586819940165688,0.0017936576685942738,ICDHyr_akg
36,ICDHyr,1.1.1.42,icit,0.015,0.22,14.666666666666668,0.018227959647689612,5.896645263449363e-05,ICDHyr_icit
37,ICDHyr,1.1.1.42,nadp,0.01,0.03,3.0,0.6190601811558674,0.03959848100277472,ICDHyr_nadp
38,ICDHyr,1.1.1.42,nadph,0.01,0.04,4.0,3.4893268174673024,0.012976352804104052,ICDHyr_nadph
39,ICDHym,1.1.1.42,akg,0.2,1.92,9.6,0.0031664794317488995,6.975196433549278e-05,ICDHym_akg
40,ICDHym,1.1.1.42,icit,0.015,0.22,14.666666666666668,0.00032245815945528954,7.382201167143274e-07,ICDHym_icit
41,ICDHym,1.1.1.42,nadp,0.01,0.03,3.0,287.0790941863956,0.3239551495888065,ICDHym_nadp
