,count,mean,std,min,25%,50%,75%,max,CV
km_substrate_2DDA7Ptm,9.0,0.09709769946299292,0.13621116863051771,0.001291322382447557,0.01163102792568384,0.04221952981868192,0.12815923016747413,0.4356394535314584,1.4028259102310885
km_product_2DDA7Ptm,9.0,8.197709305362675e-08,1.3709175255773135e-07,8.325680890564657e-10,4.871368024371913e-09,2.2500706676091362e-08,7.980753092204475e-08,4.283784181975011e-07,1.6723178079521601
km_substrate_2OBUTtm,9.0,0.008861012289143976,0.012455348297556125,2.681224219107817e-05,0.0006847013104103137,0.0007352309831466998,0.021058427124075595,0.02952039773547916,1.4056349197050242
km_product_2OBUTtm,9.0,1.0192384145964026e-05,1.4903747713685532e-05,6.502777965694577e-07,1.6993180957523494e-06,2.908928641353207e-06,6.775989491631127e-06,3.723374144191629e-05,1.4622435242089171
km_substrate1_2OXOADPTm,9.0,0.0011284781440079104,0.0016097569211678895,1.423545462954076e-05,2.8284193198631717e-05,0.0003466711171222061,0.001005467779176082,0.004011956764561808,1.4264848014252771
km_product1_2OXOADPTm,9.0,5.464850656907358e-07,3.9236021602738377e-07,8.116015992019997e-08,2.578817502971417e-07,5.095425337505867e-07,8.262356411939836e-07,1.1924965470745032e-06,0.7179706101052474
km_substrate2_2OXOADPTm,9.0,0.00020612558951291793,0.0005866605841504234,6.892683430579369e-07,1.2912982124939095e-06,7.675184850958796e-06,1.2881095842799862e-05,0.0017700619041499312,2.84613174684775
km_product2_2OXOADPTm,9.0,0.00016805493009399393,0.00022358567570611332,2.3006033261945437e-05,4.738374351794817e-05,5.7926569871384986e-05,0.00012107912665056891,0.000687859949714101,1.3304321127684904
km_substrate_2PGt6,9.0,4.715736314184799e-06,5.5884202400815365e-06,1.7047729968048525e-07,3.900977424976771e-07,5.351843801684833e-07,8.272098908042612e-06,1.4859019555696048e-05,1.1850578293090157
km_product_2PGt6,9.0,8.754828244962595e-06,1.2335982739347081e-05,4.6617529952125873e-07,1.306236072703393e-06,4.4401714814059715e-06,1.1892746618365964e-05,3.9188243256732864e-05,1.4090490863078933
km_substrate_3C3HMPtm,9.0,9.096820270319033e-05,0.00010915896914920747,1.9346063415994267e-06,1.6043562432339216e-05,6.244261024198574e-05,8.439773682363004e-05,0.00034708892474513963,1.1999684055028512
km_product_3C3HMPtm,9.0,3.123183867663131e-09,3.378487012068146e-09,3.677186436566072e-10,5.21512724808756e-10,1.662692802120722e-09,5.400550651280656e-09,9.115878188546887e-09,1.0817445130427243
km_substrate_3MOPtm,9.0,0.0004549467068711179,0.0004876682983452305,3.7634517647393014e-05,8.930898724397871e-05,0.00025825024563752135,0.00044723468836395494,0.0014007884495504139,1.0719240099552634
km_product_3MOPtm,9.0,9.587207184757653e-06,2.2309967845116188e-05,7.894099457446788e-08,5.359888484996875e-07,2.3661940330682706e-06,3.56355438090449e-06,6.874126906676019e-05,2.3270559835804927
km_substrate_3PGt6,9.0,3.654775340391713e-08,5.060894991631499e-08,1.321473331188651e-09,3.88975285338755e-09,1.0628092081532173e-08,5.2302339535478764e-08,1.2585376723859493e-07,1.3847349071500192
km_product_3PGt6,9.0,0.0007919584900043434,0.0009984325266247243,0.00011169267606924025,0.00034926111442219125,0.0004185201828030686,0.0009836324301415215,0.0033161720487407532,1.2607132055863794
km_substrate_6PGCt6,9.0,2.0955562033038957e-07,5.83521721080247e-07,5.907557561247324e-10,8.21623608514304e-09,1.9162297333136895e-08,3.1198345496986953e-08,1.765303523509482e-06,2.7845672674407633
km_product_6PGCt6,9.0,0.001987483890021971,0.0024094117309759627,1.986179018844165e-06,0.0004427393629070693,0.0012559476329710548,0.002774023179327798,0.007794845168987378,1.2122924583551353
km_substrate_6PHOPHO,9.0,0.0014262925929853963,0.0017459861335285347,3.975988880155938e-05,0.00011643313722768202,0.0006316693414493055,0.0025490689537479567,0.004893213797022914,1.224143027956124
km_product1_6PHOPHO,9.0,0.017381883396926732,0.016952983103282186,0.0017923106680616918,0.004429681074414016,0.009724916734569725,0.025024158380929525,0.04771160697854955,0.9753248664802124
km_product2_6PHOPHO,9.0,5.922026355439661e-05,8.093457546682863e-05,2.973583283214108e-07,5.6306404022981e-06,2.225915344321267e-05,6.66953279905499e-05,0.00022837681852956877,1.3666703018382618
km_substrate1_AATA,9.0,0.26351564601686145,0.23920538637617555,0.0007595995206779599,0.1125336525714124,0.2043571912312606,0.3240475615949956,0.7178236903338084,0.9077464279326687
km_product1_AATA,9.0,0.00038984096788312935,0.0004942501998485023,5.1527571786081464e-05,6.816217620822823e-05,0.0001823701182734679,0.0005419502984011505,0.0015716694496434576,1.2678251917245236
km_substrate2_AATA,9.0,0.0004030788617217237,0.0006576546343727723,1.360220028919176e-05,2.6226537088703992e-05,0.00019138793338606468,0.00027787240816206114,0.0020710866139577472,1.631578077708282
km_product2_AATA,9.0,0.003984806397084024,0.007887905978805596,0.00026144455833204526,0.0003919364446702873,0.0004706561632011232,0.0034591749683634846,0.024531390806763226,1.9794954115155399
km_substrate1_ABTA,9.0,0.0002173294450723054,0.0002791971076662444,1.0704160947884602e-05,3.1258236722326994e-05,5.4623042649130106e-05,0.00047256288895174104,0.0007321604256523481,1.284672252180811
km_product1_ABTA,9.0,1.4273289766435457e-08,3.997635781169978e-08,3.7301275587270104e-10,4.389848071895524e-10,5.991383130994201e-10,1.5501445098990383e-09,1.2085640357676383e-07,2.800780931786778
km_substrate2_ABTA,9.0,4.005565779752728e-06,9.549224333943794e-06,2.000488009444366e-08,9.04091575353586e-08,4.2990330961228194e-07,2.0945120283761034e-06,2.9345722087011737e-05,2.3839888942064227
km_product2_ABTA,9.0,0.14013576005534004,0.11905596569583826,0.002174195675176533,0.044849698103139844,0.13006283068645805,0.22914989655999554,0.3050271163547948,0.8495759087389451
km_substrate1_ACACT1r,9.0,0.0020015958946311193,0.0024332414189117,1.2358719712157785e-05,4.289420218242177e-05,0.0012323174783436853,0.0021505152551473403,0.006408707003409822,1.21565068425569
km_product1_ACACT1r,9.0,0.11430614166129832,0.17895830451294942,0.005641996118795942,0.015202955026864064,0.052176961663655104,0.11427969950346338,0.5715898941307361,1.5656053289176934
km_product2_ACACT1r,9.0,2.6809982082569917e-09,4.6918717333714996e-09,4.836733459120015e-10,5.412544628678952e-10,8.921929551803309e-10,1.9920436703037458e-09,1.5029808544671085e-08,1.7500465755334633
km_substrate_ACALDt,9.0,9.949592579362478e-08,1.9059717835028183e-07,5.561896245826045e-09,1.1152845577731096e-08,1.776069773163923e-08,6.190821991869857e-08,5.86628672841029e-07,1.9156279699896452
km_product_ACALDt,9.0,1.6769891165349198e-08,3.3006075594018606e-08,5.135567134688238e-10,1.5637981063518388e-09,2.0188271236614357e-09,4.644322160378544e-09,9.952692534449908e-08,1.9681747048077114
km_substrate_ACALDtm,9.0,1.0532156167891844e-06,2.8258454563496665e-06,9.687061913798874e-09,6.310648848478245e-08,8.46698118699777e-08,1.667132368132327e-07,8.583223156460732e-06,2.6830645228794574
km_product_ACALDtm,9.0,8.989523868192826e-09,1.3802781707011053e-08,5.591608995513828e-10,1.2431783132973754e-09,1.7337281492440889e-09,4.491118115917774e-09,3.3734267155343327e-08,1.5354296745179945
km_substrate1_ACCOAC,9.0,5.7385244659738134e-05,5.37539982165015e-05,1.3575450042991338e-06,1.2193501113222732e-05,6.639981967229864e-05,7.58314444105352e-05,0.0001717519339274186,0.9367216003910437
km_product1_ACCOAC,9.0,0.016820993729217193,0.016286663941077056,0.0002772590376663774,0.0030241501116450966,0.009044835861655963,0.02645843991983165,0.041848094250239186,0.968234350672634
