Reaction,Subsytem
DM_4CRSOL,Exchange
DM_5DRIB,Exchange
DM_MTHTHF,Exchange
DM_5mtr_e,Exchange
DM_ac_e,Exchange
DM_acald_e,Exchange
DM_akg_e,Exchange
DM_ca2_e,Exchange
DM_cbl1_e,Exchange
DM_cit_e,Exchange
DM_cl_e,Exchange
DM_co2_e,Exchange
DM_cobalt2_e,Exchange
DM_cu2_e,Exchange
DM_etoh_e,Exchange
DM_fe3_e,Exchange
DM_for_e,Exchange
DM_glc_e,Exchange
DM_glu-L_e,Exchange
DM_glyc_e,Exchange
DM_glycogenn1_c,Exchange
DM_h_e,Exchange
DM_h2o_e,Exchange
DM_indole_e,Exchange
DM_k_e,Exchange
DM_lac-D_e,Exchange
DM_mal-L_e,Exchange
DM_mg2_e,Exchange
DM_mn2_e,Exchange
DM_mobd_e,Exchange
DM_nh4_e,Exchange
DM_ni2_e,Exchange
DM_o2_e,Exchange
DM_phe-L_e,Exchange
DM_pi_e,Exchange
DM_pyr_e,Exchange
DM_ser-L_e,Exchange
DM_so4_e,Exchange
DM_succ_e,Exchange
DM_trp-L_e,Exchange
DM_tyr-L_e,Exchange
DM_zn2_e,Exchange
5MTRtex,"Transport, Outer Membrane Porin"
ACALD,Pyruvate Metabolism
ACALDtex,"Transport, Outer Membrane Porin"
ACALDtpp,"Transport, Inner Membrane"
ACONTa,Citric Acid Cycle
ACONTb,Citric Acid Cycle
ACS,Pyruvate Metabolism
ACt2rpp,"Transport, Inner Membrane"
ACtex,"Transport, Outer Membrane Porin"
ADK1,Nucleotide Salvage Pathway
AKGDH,Citric Acid Cycle
AKGt2rpp,"Transport, Inner Membrane"
AKGtex,"Transport, Outer Membrane Porin"
ALCD2x,Pyruvate Metabolism
ANPRT,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
ANS,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
ATPM,Unassigned
ATPS4rpp,Oxidative Phosphorylation
CA2tex,"Transport, Outer Membrane Porin"
CBL1tonex,"Transport, Outer Membrane"
CHORM,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
CHORS,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
CITt3pp,"Transport, Inner Membrane"
CITt7pp,"Transport, Inner Membrane"
CITtex,"Transport, Outer Membrane Porin"
CLtex,"Transport, Outer Membrane Porin"
CO2tex,"Transport, Outer Membrane Porin"
CO2tpp,"Transport, Inner Membrane"
COBALT2tex,"Transport, Outer Membrane Porin"
COLIPAabctex,Lipopolysaccharide Biosynthesis / Recycling
CS,Citric Acid Cycle
CU2tex,"Transport, Outer Membrane Porin"
CYTBDpp,Oxidative Phosphorylation
CYTBO3_4pp,Glycolysis/Gluconeogenesis
D-LACt2pp,"Transport, Inner Membrane"
D-LACtex,"Transport, Outer Membrane Porin"
DDPA,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
DHQS,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
