Time,mean,lo ,high
0,0,0,0
4,0,0,0
8,0,0,0
12,0.201405763,0.169872875,0.238779117
16,0.661485612,0.61593915,0.705866275
20,0.740835038,0.702293799,0.780543119
24,0.754782918,0.72325003,0.786316849
28,0.748876758,0.700992441,0.795592148
32,0.720779746,0.697423094,0.745306368
36,0.733560784,0.700860012,0.770933096
40,0.726486739,0.675097726,0.777872625
44,0.725252118,0.700725496,0.749775612
48,0.731023763,0.644601336,0.762557694
52,0.71694241,0.663219712,0.774168762
60,0.7273199,0.6934502,0.769364793
